iter	RMSE
0	0.370951526
1	0.3676959557
2	0.3646500839
3	0.361859381
4	0.3591010764
5	0.3561899657
6	0.353944181
7	0.3512203393
8	0.3488149326
9	0.3463871214
10	0.343993328
11	0.341579372
12	0.3396574716
13	0.3378649171
14	0.3359675012
15	0.3342984925
16	0.332417484
17	0.3307752871
18	0.3288677798
19	0.3270157854
20	0.3254023551
21	0.3242933633
22	0.3228300841
23	0.321908631
24	0.3204879118
25	0.3194216139
26	0.3182500819
27	0.3170858821
28	0.3154823703
29	0.3141688251
30	0.31280088
31	0.3118272393
32	0.3107952211
33	0.3097522082
34	0.3086777444
35	0.3078952685
36	0.3068433254
37	0.3059206454
38	0.3051266912
39	0.3041045611
40	0.3029906617
41	0.301868001
42	0.30063466
43	0.2997205046
44	0.2990256242
45	0.2983000092
46	0.2976696041
47	0.2967573519
48	0.2958559523
49	0.295128082
50	0.2944920826
51	0.2939378271
52	0.2933684793
53	0.2924753073
54	0.2918064791
55	0.2910468002
56	0.2902360816
57	0.2892249242
58	0.2881657486
59	0.2870286666
60	0.2864748544
61	0.2857120888
62	0.2851215602
63	0.2846447478
64	0.2842248584
65	0.2836497583
66	0.2827658023
67	0.2818322226
68	0.2815119257
69	0.2809994916
70	0.2805460772
71	0.279919879
72	0.2791214126
73	0.278543918
74	0.2782329968
75	0.2776153192
76	0.2773022152
77	0.2767946458
78	0.2765134599
79	0.2758781752
80	0.2751241387
81	0.2745911128
82	0.2740547528
83	0.2733662794
84	0.2728290572
85	0.2721690421
86	0.2715734007
87	0.2707785231
88	0.2702285989
89	0.2695548645
90	0.2688833526
91	0.2680561305
92	0.2674214367
93	0.2669487253
94	0.2663733494
95	0.2659816947
96	0.265296661
97	0.2648349112
98	0.2643688472
99	0.2636644313
100	0.2631962255
101	0.262775692
102	0.262336327
103	0.2618270728
104	0.2613390112
105	0.2608779545
106	0.2604371304
107	0.2598992708
108	0.2595008353
109	0.2590558513
110	0.2587164173
111	0.2582197841
112	0.2578289915
113	0.2573689917
114	0.2568401469
115	0.2563811822
116	0.2558877781
117	0.2555140738
118	0.2549210566
119	0.2546902002
120	0.2541899313
121	0.253880754
122	0.2530980213
123	0.2524984068
124	0.2519794521
125	0.2512583897
126	0.2507157502
127	0.2503727482
128	0.249837931
129	0.2490977634
130	0.248571121
131	0.2482500439
132	0.2479988637
133	0.2476263413
134	0.2469132852
135	0.246415069
136	0.2459034873
137	0.2454742428
138	0.2448927574
139	0.2445367137
140	0.2441955062
141	0.2438474333
142	0.2434017629
143	0.2428777684
144	0.2424586814
145	0.2419789117
146	0.2416684859
147	0.2411882412
148	0.2407411367
149	0.2403796999
150	0.239801195
151	0.2394322614
152	0.2390410088
153	0.238647574
154	0.2382146943
155	0.2379104968
156	0.2375050303
157	0.2371692401
158	0.2368033556
159	0.236406036
160	0.2359799175
161	0.2355045897
162	0.2351747403
163	0.2348080841
164	0.2343741765
165	0.23394334
166	0.2336561236
167	0.2333622113
168	0.2328983365
169	0.2325563048
170	0.2321435876
171	0.2317457904
172	0.2315539239
173	0.2311385017
174	0.2308020463
175	0.2303885094
176	0.23011008
177	0.2296453587
178	0.2292119492
179	0.2286541268
180	0.2283739782
181	0.2281347636
182	0.2277806551
183	0.2274936258
184	0.2271212981
185	0.2268050088
186	0.2264232721
187	0.2262235348
188	0.2259798852
189	0.2256288897
190	0.2255337653
191	0.225447226
192	0.2249490074
193	0.2244952944
194	0.2240091053
195	0.2236384549
196	0.2231771918
197	0.2228057297
198	0.2224204892
199	0.2220687965
200	0.221753723
201	0.2213602353
202	0.2209059828
203	0.2205782637
204	0.2201777965
205	0.2197344346
206	0.2196088846
207	0.219256851
208	0.2191611835
209	0.218792785
210	0.2184994142
211	0.2181524346
212	0.2179087774
213	0.2174110773
214	0.2172992158
215	0.2172402712
216	0.2168510137
217	0.2165927392
218	0.2165231536
219	0.2160234916
220	0.215662127
221	0.2155477267
222	0.2152461682
223	0.214884776
224	0.2147986742
225	0.2143149833
226	0.2140855969
227	0.2139758328
228	0.2134946902
229	0.2131651734
230	0.2127769443
231	0.2123594332
232	0.2119894064
233	0.211586932
234	0.2111157404
235	0.2108758707
236	0.2104016091
237	0.2103620865
238	0.2098913513
239	0.209476588
240	0.2090352052
241	0.2090046511
242	0.2085092053
243	0.2082150912
244	0.208167869
245	0.2077836516
246	0.2073013674
247	0.2068690811
248	0.2065713428
