iter	Logloss
0	0.6720018436
1	0.6451168068
2	0.621820921
3	0.5963053838
4	0.5759434245
5	0.5579343902
6	0.5434595746
7	0.5288856805
8	0.5147359792
9	0.5013416166
10	0.4846581743
11	0.4722385132
12	0.4605580061
13	0.4491303249
14	0.4396975982
15	0.4274267185
16	0.4170448565
17	0.4081380945
18	0.3989747969
19	0.3895940301
20	0.3818439507
21	0.3742053963
22	0.3631015443
23	0.356664487
24	0.348252977
25	0.340581238
26	0.331692233
27	0.3249724629
28	0.3186665213
29	0.3136601074
30	0.3079466573
31	0.3031923486
32	0.2961570443
33	0.2916280458
34	0.2860960439
35	0.2819289657
36	0.2773733282
37	0.2736719494
38	0.2696582578
39	0.2655786831
40	0.2611876072
41	0.2565679952
42	0.2523946708
43	0.2495896104
44	0.2463962343
45	0.2413345108
46	0.2383287253
47	0.2346973985
48	0.2308259044
49	0.2279011722
50	0.2248712442
51	0.2212672461
52	0.2187555793
53	0.2167321613
54	0.2139438916
55	0.2107930355
56	0.2072215594
57	0.2053133946
58	0.2024282323
59	0.2000871908
60	0.1975718281
61	0.1954318445
62	0.1918526754
63	0.190190151
64	0.1871128659
65	0.1845731068
66	0.182399107
67	0.1805421234
68	0.178275055
69	0.1763266349
70	0.1748920189
71	0.1727021461
72	0.170767265
73	0.1691703457
74	0.1668218105
75	0.1652021657
76	0.1637509458
77	0.1613872544
78	0.1600010592
79	0.1582984762
80	0.1562564207
81	0.1544956557
82	0.1531104066
83	0.151628838
84	0.1504394646
85	0.1481754913
86	0.1466120127
87	0.1453509125
88	0.1437220916
89	0.1424481531
90	0.1413143032
91	0.1401856351
92	0.1387727826
93	0.1381307331
94	0.1368666156
95	0.1352988476
96	0.1339062462
97	0.1324414354
98	0.1315171076
99	0.1303593953
100	0.1292541411
101	0.1283667457
102	0.1273094757
103	0.1260090549
104	0.1247997476
105	0.1233087137
106	0.122120253
107	0.1208951569
108	0.1195247495
109	0.1181396049
110	0.1168731561
111	0.11541019
112	0.1145069517
113	0.1137837644
114	0.1128248149
115	0.1115896241
116	0.1106356575
117	0.109709957
118	0.1084809993
119	0.1071788964
120	0.106158302
121	0.104561067
122	0.103802524
123	0.1026341899
124	0.1014355798
125	0.1007419124
126	0.09976681534
127	0.09888892161
128	0.09806665138
129	0.09725175755
130	0.09650978565
131	0.09537227115
132	0.0942981344
133	0.0936292541
134	0.09298741061
135	0.09228978815
136	0.09144316611
137	0.09077969037
138	0.0901927582
139	0.08923920768
140	0.08840300428
141	0.08761631461
142	0.08724079909
143	0.08640379346
144	0.08551747847
145	0.08467688165
146	0.08397241255
147	0.08320307493
148	0.08279979832
149	0.08188572312
150	0.08124613733
151	0.08034114905
152	0.07969339219
153	0.07905513267
154	0.0786030337
155	0.07797156003
156	0.07734237914
157	0.07668793178
158	0.07601946989
159	0.07532125615
160	0.07499041581
161	0.07414664104
162	0.07331399307
163	0.07240862729
164	0.07193736235
165	0.0713090802
166	0.07076277315
167	0.07014054632
168	0.06959819174
169	0.06914168807
170	0.0682413766
171	0.06779063729
172	0.06713760539
173	0.06664667921
174	0.06614033108
175	0.06558150123
176	0.06510252366
177	0.06459126071
178	0.06396956464
179	0.06362626545
180	0.06330177302
181	0.06287139817
182	0.06226018665
183	0.06183334482
184	0.06157406041
185	0.06117693093
186	0.0608254003
187	0.06042550176
188	0.05966473404
189	0.05925419205
190	0.05870379855
191	0.0584457998
192	0.05801372172
193	0.05759800081
194	0.05684325476
195	0.0564169233
196	0.05584553897
197	0.05544091265
198	0.05507681668
199	0.05471532804
